,company_name,location,classification,revenue
2139,,"LA FOLLETTE, TN","Scholarships, Student Financial Aid Services, Awards",
2140,,"MEMPHIS, TN",Fund Raising and/or Fund Distribution,"$80,319"
2141,,"HARTSVILLE, TN","Elementary, Secondary Education, K - 12",
2142,,"KINGSPORT, TN","Adult, Continuing Education",
2143,,"ARLINGTON, TN",Educational Services and Schools - Other,
2144,,"PLEASANT VIEW, TN",Management & Technical Assistance,
2145,,"CROSSVILLE, TN",Single Organization Support,
2146,,"NASHVILLE, TN","Student Services, Organizations of Students",
2147,,"KINGSPORT, TN","Adult, Continuing Education",
2148,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)",
2149,,"ATOKA, TN",Parent/Teacher Group,"$30,200"
2150,,"MEMPHIS, TN",Fund Raising and/or Fund Distribution,
2151,,"JACKSON, TN","Adult, Continuing Education",
2152,,"ARLINGTON, TN","Student Services, Organizations of Students",
2153,,"ARLINGTON, TN",Parent/Teacher Group,
2154,,"BARTLETT, TN",Single Organization Support,"$286,496"
2155,,"BARTLETT, TN",Single Organization Support,
2156,,"BARTLETT, TN",Single Organization Support,
2157,,"BAXTER, TN","Scholarships, Student Financial Aid Services, Awards",
2158,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2159,,"SHELBYVILLE, TN",Education N.E.C.,
2160,,"HENDERSONVLLE, TN","Elementary, Secondary Education, K - 12","$106,425"
2161,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$8,064,736"
2162,,"MEMPHIS, TN",Education N.E.C.,
2163,,"SAVANNAH, TN","Vocational, Technical Schools",
2164,,"MEMPHIS, TN","Graduate, Professional Schools (Separate Entities) (B58I)","$553,180"
2165,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$76,994"
2166,,"NASHVILLE, TN",Education N.E.C.,
2167,,"GALLATIN, TN",Single Organization Support,"$82,763"
2168,,"MARYVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$320,771"
2169,,"NASHVILLE, TN",Education N.E.C.,
2170,,"SMYRNA, TN","Vocational, Technical Schools",
2171,,"BLOUNTVILLE, TN",Single Organization Support,
2172,,"KNOXVILLE, TN",Parent/Teacher Group,"$117,065"
2173,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards","$30,122"
2174,,"RICEVILLE, TN","Elementary, Secondary Education, K - 12","$111,681"
2175,,"BLUFF CITY, TN",Parent/Teacher Group,
2176,,"KNOXVILLE, TN",Single Organization Support,"$37,758"
2177,,"KNOXVILLE, TN","Secondary, High School",
2178,,"MEMPHIS, TN","Vocational, Technical Schools",
2179,,"CHATTANOOGA, TN","Adult, Continuing Education",
2180,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12","$14,405,887"
2181,,"CLEVELAND, TN",Single Organization Support,"$2,212"
2182,,"GERMANTOWN, TN",Fund Raising and/or Fund Distribution,
2183,,"BRENTWOOD, TN","Primary, Elementary Schools","$169,289"
2184,,"NASHVILLE, TN",Educational Services and Schools - Other,
2185,,"BRIGHTON, TN",Single Organization Support,
2186,,"CHATTANOOGA, TN",Educational Services and Schools - Other,"$176,234"
2187,,"MEMPHIS, TN","Student Services, Organizations of Students",
2188,,"DAYTON, TN",Undergraduate College (4-year),"$27,171,476"
2189,,"ANTIOCH, TN","Professional Societies, Associations",
2190,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2191,,"SOMERVILLE, TN",Single Organization Support,
2192,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2193,,"SPRING HILL, TN",Educational Services and Schools - Other,
2194,,"CORNERSVILLE, TN",Fund Raising and/or Fund Distribution,
2195,,"KNOXVILLE, TN","Professional Societies, Associations",
2196,,"MURFREESBORO, TN",Educational Services and Schools - Other,"$272,822"
2197,,"STANTON, TN",Educational Services and Schools - Other,
2198,,"CHATTANOOGA, TN",Fund Raising and/or Fund Distribution,"$12,373,348"
2199,,"PORTLAND, TN","Scholarships, Student Financial Aid Services, Awards",
2200,,"CLARKSVILLE, TN",Education N.E.C.,"$33,715"
2201,,"CARTHAGE, TN","Scholarships, Student Financial Aid Services, Awards","$7,566"
2202,,"SHELBYVILLE, TN",Single Organization Support,
2203,,"SHELBYVILLE, TN",Single Organization Support,
2204,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2205,,"ARDMORE, TN",Parent/Teacher Group,
2206,,"NASHVILLE, TN",Parent/Teacher Group,
2207,,"MEMPHIS, TN",Fund Raising and/or Fund Distribution,
2208,,"CHATTANOOGA, TN",Education N.E.C.,
2209,,"ETOWAH, TN",Single Organization Support,
2210,,"KNOXVILLE, TN",Single Organization Support,
2211,,"MURFREESBORO, TN",Parent/Teacher Group,"$67,892"
2212,,"FRANKLIN, TN","Professional Societies, Associations",
2213,,"CHATTANOOGA, TN",Alumni Associations,
2214,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
2215,,"CHATTANOOGA, TN",Educational Services and Schools - Other,"$330,724"
2216,,"KNOXVILLE, TN",Education N.E.C.,
2217,,"NASHVILLE, TN",Single Organization Support,"$4,763,286"
2218,,"DYERSBURG, TN","Scholarships, Student Financial Aid Services, Awards",
2219,,"SEWANEE, TN",Fund Raising and/or Fund Distribution,
2220,,"NASHVILLE, TN","Adult, Continuing Education",
2221,,"LAFOLLETTE, TN","Secondary, High School",
2222,,"AFTON, TN",Single Organization Support,"$37,179"
2223,,"MEMPHIS, TN",Educational Services and Schools - Other,
2224,,"CLARKSVILLE, TN",Single Organization Support,"$42,509"
2225,,"CLARKSVILLE, TN",Single Organization Support,
2226,,"CLARKSVILLE, TN",Nonmonetary Support N.E.C.,"$136,737"
2227,,"CLARKSVILLE, TN",Education N.E.C.,
2228,,"CLARKSVILLE, TN","Adult, Continuing Education (B61Z)","$37,776"
2229,,"KNOXVILLE, TN",Alumni Associations,
2230,,"MEMPHIS, TN",Educational Services and Schools - Other,
2231,,"KNOXVILLE, TN","Adult, Continuing Education",
2232,,"TAZEWELL, TN",Education N.E.C.,
2233,,"CLINTON, TN",Single Organization Support,
2234,,"MEMPHIS, TN",Education N.E.C.,"$880,992"
2235,,"KNOXVILLE, TN","Professional Societies, Associations",
2236,,"KNOXVILLE, TN","Professional Societies, Associations",
2237,,"KNOXVILLE, TN","Professional Societies, Associations",
2238,,"SUMMERTOWN, TN","Vocational, Technical Schools",
2239,,"COLLIERVILLE, TN",Single Organization Support,"$354,629"
2240,,"COLUMBIA, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$13,288,512"
2241,,"COLUMBIA, TN",Single Organization Support,"$51,790"
2242,,"COLUMBIA, TN",Educational Services and Schools - Other,"$62,364"
2243,,"HENDERSONVLLE, TN",Single Organization Support,"$89,158"
2244,,"CHATTANOOGA, TN","Professional Societies, Associations",
2245,,"UNIONVILLE, TN",Single Organization Support,
2246,,"JEFFERSON CITY, TN","Elementary, Secondary Education, K - 12","$138,350"
2247,,"KNOXVILLE, TN","Remedial Reading, Reading Encouragement",
2248,,"COOKEVILLE, TN",Educational Services and Schools - Other,"$222,520"
2249,,"SHELBYVILLE, TN","Elementary, Secondary Education, K - 12",
2250,,"CORDOVA, TN",Parent/Teacher Group,
2251,,"MORRISTOWN, TN","Primary, Elementary Schools","$28,492,042"
2252,,"COVINGTON, TN",Fund Raising and/or Fund Distribution,
2253,,"MADISON, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
2254,,"CANE RIDGE, TN",Educational Services and Schools - Other,
2255,,"CLEVELAND, TN",Education N.E.C.,
2256,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$7,299,080"
2257,,"MOSHEIM, TN","Adult, Continuing Education",
2258,,"OAKLAND, TN","Scholarships, Student Financial Aid Services, Awards",
2259,,"CROSSVILLE, TN","Adult, Continuing Education",
2260,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards",
2261,,"MEMPHIS, TN",Educational Services and Schools - Other,
2262,,"PARIS, TN","Scholarships, Student Financial Aid Services, Awards",
2263,,"LAWRENCEBURG, TN",Parent/Teacher Group,
2264,,"NASHVILLE, TN",Alliance/Advocacy Organizations,"$218,119"
2265,,"GREENBRIER, TN","Elementary, Secondary Education, K - 12",
2266,,"KNOXVILLE, TN","Primary, Elementary Schools","$102,412"
2267,,"NOLENSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2268,,"SMITHVILLE, TN",Single Organization Support,
2269,,"SMITHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2270,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12 (B29)",
2271,,"CHAPEL HILL, TN",Parent/Teacher Group,
2272,,"OAK RIDGE, TN","Scholarships, Student Financial Aid Services, Awards",
2273,,"HIXSON, TN",Educational Services and Schools - Other,"$254,206"
2274,,"KNOXVILLE, TN","Adult, Continuing Education","$26,175"
2275,,"BRENTWOOD, TN",Educational Services and Schools - Other,"$158,035"
2276,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
2277,,"KINGSPORT, TN",Single Organization Support,
2278,,"GOODLETTSVLLE, TN","Remedial Reading, Reading Encouragement","$19,656,631"
2279,,"DYERSBURG, TN","Scholarships, Student Financial Aid Services, Awards",
2280,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards","$42,419"
2281,,"HENDERSONVLLE, TN",Parent/Teacher Group,"$113,517"
2282,,"GLEASON, TN",Single Organization Support,
2283,,"OLD HICKORY, TN",Alumni Associations,"$25,762"
2284,,"FRANKLIN, TN",Education N.E.C.,
2285,,"KNOXVILLE, TN",Single Organization Support,"$1,756,436"
2286,,"PLEASANT VIEW, TN",Parent/Teacher Group,"$8,145"
2287,,"ESTILL SPGS, TN","Remedial Reading, Reading Encouragement",$50
2288,,"LYLES, TN",Fund Raising and/or Fund Distribution,
2289,,"CHATTANOOGA, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$275,337"
2290,,"NASHVILLE, TN",Parent/Teacher Group,
2291,,"CHATTANOOGA, TN",Alumni Associations,"$12,872"
2292,,"KNOXVILLE, TN",Education N.E.C.,"$1,235,928"
2293,,"ASHLAND CITY, TN",Parent/Teacher Group,
2294,,"NASHVILLE, TN",Educational Services and Schools - Other,
2295,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$227,234,757"
2296,,"MEMPHIS, TN",Single Organization Support,
2297,,"MARYVILLE, TN",Specialized Education Institutions,"$13,707"
2298,,"ELIZABETHTON, TN",Parent/Teacher Group,
2299,,"GERMANTOWN, TN","Scholarships, Student Financial Aid Services, Awards",
2300,,"PARSONS, TN","Scholarships, Student Financial Aid Services, Awards",
2301,,"MEMPHIS, TN",Parent/Teacher Group,
2302,,"MEMPHIS, TN",Educational Services and Schools - Other,
2303,,"MEMPHIS, TN","Vocational, Technical Schools",
2304,,"HEISKELL, TN",Parent/Teacher Group,
2305,,"FAIRVIEW, TN",Parent/Teacher Group,
2306,,"BARTLETT, TN",Education N.E.C.,"$102,176"
2307,,"JEFFERSON CTY, TN","Graduate, Professional Schools (Separate Entities) (B52)",
2308,,"JACKSON, TN","Elementary, Secondary Education, K - 12","$474,942"
2309,,"KNOXVILLE, TN",Single Organization Support,"$49,703"
2310,,"KNOXVILLE, TN",Parent/Teacher Group,"$70,091"
2311,,"SOMERVILLE, TN","Adult, Continuing Education","$61,420"
2312,,"FAYETTEVILLE, TN",Fund Raising and/or Fund Distribution,
2313,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards",
2314,,"NASHVILLE, TN",Specialized Education Institutions,"$1,221,938"
2315,,"KNOXVILLE, TN","Remedial Reading, Reading Encouragement",
2316,,"CHAPEL HILL, TN",Single Organization Support,
2317,,"MARYVILLE, TN",Libraries,
2318,,"FRANKLIN, TN","Elementary, Secondary Education, K - 12","$3,546,318"
2319,,"CHATTANOOGA, TN",Education N.E.C.,
2320,,"OOLTEWAH, TN",Single Organization Support,
2321,,"NASHVILLE, TN",Single Organization Support,
2322,,"KNOXVILLE, TN",Parent/Teacher Group,
2323,,"RIPLEY, TN",Libraries (B71I),"$5,253"
2324,,"LOUDON, TN",Single Organization Support,
2325,,"NASHVILLE, TN",Parent/Teacher Group,
2326,,"ELIZABETHTON, TN","Elementary, Secondary Education, K - 12",
2327,,"DICKSON, TN",Single Organization Support,
2328,,"GALLATIN, TN",Single Organization Support,"$41,673"
2329,,"ERIN, TN",Libraries,
2330,,"JEFFERSON CITY, TN",Libraries,"$15,307"
2331,,"FRANKLIN, TN",Libraries,"$82,311"
2332,,"MEMPHIS, TN","Adult, Continuing Education",
2333,,"NASHVILLE, TN",Education N.E.C.,
2334,,"CLEVELAND, TN","Secondary, High School",
2335,,"ELIZABETHTON, TN",Educational Services and Schools - Other,
2336,,"GERMANTOWN, TN",Fund Raising and/or Fund Distribution,"$231,809"
2337,,"GERMANTOWN, TN","Scholarships, Student Financial Aid Services, Awards","$1,045"
2338,,"CORRYTON, TN",Single Organization Support,"$26,808"
2339,,"CORDOVA, TN",Educational Services and Schools - Other,
2340,,"NASHVILLE, TN","Student Services, Organizations of Students","$63,229"
2341,,"MOUNT JULIET, TN",Fund Raising and/or Fund Distribution,
2342,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$4,298,045"
2343,,"GORDONSVILLE, TN",Parent/Teacher Group,
2344,,"GREENEVILLE, TN",Single Organization Support,"$196,471"
2345,,"NASHVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$2,192,537"
2346,,"DECATURVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2347,,"KNOXVILLE, TN",Parent/Teacher Group,
2348,,"NASHVILLE, TN",Parent/Teacher Group,
2349,,"CHATTANOOGA, TN","Professional Societies, Associations",
2350,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12","$347,724"
2351,,"JACKSON, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$458,536"
2352,,"THOMPSONS STN, TN",Educational Services and Schools - Other,
2353,,"NASHVILLE, TN",Alliance/Advocacy Organizations,
2354,,"ELIZABETHTON, TN",Single Organization Support,
2355,,"BOLIVAR, TN","Scholarships, Student Financial Aid Services, Awards",
2356,,"KNOXVILLE, TN",Parent/Teacher Group,"$20,621"
2357,,"NASHVILLE, TN",Education N.E.C.,"$162,882"
2358,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12","$36,132,552"
2359,,"ROGERSVILLE, TN",Libraries,
2360,,"CHATTANOOGA, TN",Alumni Associations,
2361,,"CLARKSVILLE, TN",Parent/Teacher Group,
2362,,"WHITE HOUSE, TN",Single Organization Support,
2363,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2364,,"MEMPHIS, TN","Student Services, Organizations of Students",
2365,,"THOMPSONS STN, TN","Professional Societies, Associations",
2366,,"NASHVILLE, TN",Education N.E.C.,
2367,,"JEFFERSON CTY, TN",Educational Services and Schools - Other,
2368,,"MARYVILLE, TN",Single Organization Support,
2369,,"THOMPSONS STN, TN",Parent/Teacher Group,
2370,,"WHITE HOUSE, TN",Single Organization Support,
2371,,"HERMITAGE, TN",Parent/Teacher Group,
2372,,"CENTERVILLE, TN",Educational Services and Schools - Other,"$128,600"
2373,,"SPRING HILL, TN",Education N.E.C.,
2374,,"FRANKLIN, TN",Education N.E.C.,"$78,728"
2375,,"JONESBOROUGH, TN","Student Services, Organizations of Students",
2376,,"HIXSON, TN",Single Organization Support,
2377,,"MEMPHIS, TN","Student Services, Organizations of Students",
2378,,"NASHVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$1,953,382"
2379,,"NASHVILLE, TN","Student Sororities, Fraternities",
2380,,"MURFREESBORO, TN",Alliance/Advocacy Organizations,
2381,,"GERMANTOWN, TN",Single Organization Support,
2382,,"GERMANTOWN, TN",Single Organization Support,
2383,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards","$133,914"
2384,,"FRANKLIN, TN",Single Organization Support,"$94,892"
2385,,"HUNTLAND, TN",Fund Raising and/or Fund Distribution,
2386,,"BRISTOL, TN",Fund Raising and/or Fund Distribution,
2387,,"MEMPHIS, TN",Education N.E.C.,
2388,,"JOHNSON CITY, TN",Education N.E.C.,
2389,,"LOUDON, TN",Educational Services and Schools - Other,"$63,971"
2390,,"COOKEVILLE, TN","Professional Societies, Associations",
2391,,"MT JULIET, TN","Scholarships, Student Financial Aid Services, Awards",
2392,,"SODDY DAISY, TN","Elementary, Secondary Education, K - 12 (B29)","$5,138,549"
2393,,"MADISON, TN","Scholarships, Student Financial Aid Services, Awards",
2394,,"MEMPHIS, TN",Specialized Education Institutions,"$88,875"
2395,,"CHAPMANSBORO, TN",Fund Raising and/or Fund Distribution,
2396,,"GERMANTOWN, TN","Scholarships, Student Financial Aid Services, Awards","$31,704"
2397,,"WHITES CREEK, TN","Primary, Elementary Schools","$2,162,853"
2398,,"DANDRIDGE, TN","Scholarships, Student Financial Aid Services, Awards","$93,037"
2399,,"MILLINGTON, TN","Scholarships, Student Financial Aid Services, Awards",
2400,,"JOHNSON CITY, TN",Specialized Education Institutions,"$1,011,767"
2401,,"GREENEVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2402,,"KINGSPORT, TN",Single Organization Support,
2403,,"COALFIELD, TN","Scholarships, Student Financial Aid Services, Awards",
2404,,"NASHVILLE, TN",Parent/Teacher Group,
2405,,"FRANKLIN, TN",Single Organization Support,
2406,,"KINGSPORT, TN",Single Organization Support,
2407,,"JOHNSON CITY, TN",Libraries (B71Z),"$2,425,366"
2408,,"NASHVILLE, TN","Secondary, High School","$668,897"
2409,,"MEMPHIS, TN",Management & Technical Assistance,"$26,811,280"
2410,,"ELIZABETHTON, TN",Parent/Teacher Group,"$70,087"
2411,,"CLARKSVILLE, TN",Single Organization Support,
2412,,"MEMPHIS, TN",Educational Services and Schools - Other,
2413,,"NASHVILLE, TN",Educational Services and Schools - Other,"$255,500"
2414,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12 (B29)",
2415,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
2416,,"KNOXVILLE, TN","Professional Societies, Associations",
2417,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$887,362"
2418,,"SEWANEE, TN","Student Sororities, Fraternities",
2419,,"NASHVILLE, TN","Student Sororities, Fraternities",
2420,,"CLEVELAND, TN","Student Services, Organizations of Students",
2421,,"BRENTWOOD, TN",Parent/Teacher Group,"$64,791"
2422,,"CROSSVILLE, TN","Remedial Reading, Reading Encouragement","$127,056"
2423,,"LEWISBURG, TN",Parent/Teacher Group,"$80,531"
2424,,"KINGSPORT, TN","Scholarships, Student Financial Aid Services, Awards",
2425,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$25,479,805"
2426,,"NEWPORT, TN","Scholarships, Student Financial Aid Services, Awards","$4,776"
2427,,"KNOXVILLE, TN",Educational Services and Schools - Other,"$5,218"
2428,,"SMYRNA, TN",Fund Raising and/or Fund Distribution,"$462,930"
2429,,"ANTIOCH, TN","Elementary, Secondary Education, K - 12 (B29)","$23,028,658"
2430,,"KNOXVILLE, TN",Single Organization Support,"$5,711"
2431,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,
2432,,"HENDERSONVLLE, TN",Single Organization Support,
2433,,"LIVINGSTON, TN",Single Organization Support,
2434,,"LA VERGNE, TN","Professional Societies, Associations",
2435,,"CLARKSVILLE, TN",Single Organization Support,
2436,,"CUNNINGHAM, TN",Single Organization Support,
2437,,"LASCASSAS, TN",Single Organization Support,
2438,,"CLARKSVILLE, TN","Student Services, Organizations of Students",
2439,,"LAKELAND, TN",Parent/Teacher Group,
2440,,"BUCHANAN, TN",Parent/Teacher Group,
2441,,"ONEIDA, TN","Elementary, Secondary Education, K - 12",
2442,,"JOHNSON CITY, TN","Student Services, Organizations of Students","$35,079"
